순번,발생 일시,발생 유형,현업 부서,단계,이슈 발생 보고,대응 결과
1,2022-01-03,기획기사,,관심,"포스코인터, 글로벌 전기차 부품시장 공략 '잰걸음'",뉴스핌
2,2022-01-13,보도자료,,관심,"포스코인터, 글로벌 전기차 부품 수주 금액 4억달러 돌파",
3,2022-01-20,보도자료,,관심,"포스코인터내셔널, 사내벤처 i-ESG 출범",
4,2022-01-24,보도자료,,관심,태극 썰매 질주 뒤엔 포스코인터내셔널 든든한 후원,
5,2022-01-26,보도자료,,관심,"포스코인터 작년 영업이익 5천854억원, 23.4%↑…사상 최대 매출",
6,2022-01-26,기획기사,,관심,우크라이나 전운 고조에 국내 기업 ‘긴장’…사업영향 ‘촉각’,KBS
7,2022-01-27,보도자료,,관심,국내 상사 최초 '국제안전보건경영시스템' 인증,
8,2022-02-02,기획기사,,관심,"포스코인터내셔널, 해외 사회공헌에 주력",아시아투데이
9,2022-02-08,보도자료,,관심,"포스코인터내셔널, 포항 구동모터코아 전용공장 준공",
10,2022-02-10,보도자료,,관심,"포스코인터, 공급망 다변화 추진",
11,2022-02-15,보도자료,,관심,"포스코인터, 장애인 화가 위한 특별한 선물 (지역사회 맟춤 지원)",
12,2022-02-24,보도자료,,관심,"포스코인터, 트레이딩·자원개발·투자 '삼박자'로 매출 30조원 달성",
13,2022-02-25,기획기사,,관심,디지털 솔루션으로 ESG관리비용 90% 절감,이투데이
14,2022-03-08,보도자료,,관심,우크라이나 고통 함께..포스코인터 성금 6억원 기부,
15,2022-03-08,보도자료,,관심,"포스코인터, 우즈벡에 면화재배 클러스터",
16,2022-03-10,기획기사,,관심,"철강의 진화, 친환경차 핵심 부품으로",한경ESG
17,2022-03-10,기획기사,,관심,"ESG사내벤처 창업 붐, 기업도 적극육성",한경ESG
18,2022-03-15,보도자료,,관심,직원이 묻고 사장이 답한다,
19,2022-03-22,보도자료,,관심,"포스코인터, 창립 55주년···주시보 사장 ""전통 상사 역할 뛰어넘자""",
20,2022-03-28,보도자료,,관심,포스코인터내셔널 '블록체인 무역 플랫폼' 구축 추진,
21,2022-03-31,보도자료,,관심,"포스코인터, 세넥스에너지 인수 완료…친환경 에너지사업 본격화",
22,2022-04-07,보도자료,,관심,"포스코인터, 철강제품 온라인 판매법인 설립",
23,2022-04-07,기획기사,,관심,"비대면시대 철강재 구매도 원클릭…포스코인터내셔널, 온라인 판매법인 'eSteel4U' 설립",스틸데일리
24,2022-04-08,기획기사,,관심,포스코홀딩스 리얼밸류 기획기사 - 당사 대체육 사업 포함,동아일보
25,2022-04-21,보도자료,,관심,스타트업 발굴 및 육성을 위한 업무협약,
26,2022-04-25,보도자료,,관심,"포스코인터, 1분기 매출 9.9조·영업익 2160억…분기 사상 최대",
27,2022-05-01,보도자료,,관심,"포스코인터내셔널, GS칼텍스와 친환경 바이오 사업 공동 추진 MOU체결",
28,2022-05-13,보도자료,,관심,"포스코인터내셔널 글로벌 공급망 점검, 행선지 원면사업 '우즈벡'",
29,2022-05-24,보도자료,,관심,스마트오피스 활성화 통한 하이브리드 근무환경 조성,
30,2022-05-26,기획기사,,관심,기업시민으로 국경초월 사회공헌 활발,한국일보
31,2022-05-28,기획기사,,관심,"""기업가치 2030년 3배로 끌어올려라""... ‘리얼밸류 경영’ 깃발 올린 최정우號",파이낸셜뉴스
32,2022-06-02,보도자료,,관심,"포스코인터내셔널, 우크라이나 곡물터미널 운영 부분 재개",
33,2022-06-03,기획기사,,관심,“우크라 두고온 韓 유일 해외 식량창고 안전이 걱정”,조선일보
34,2022-06-14,기획기사,,관심,"포스코인터내셔널, “사무실 선택하며 원하는 장소서 일한다”",팍스경제TV
35,2022-06-16,보도자료,,관심,"포스코인터-중진공, 중소벤처기업 해외진출 지원 강화",
36,2022-06-16,보도자료,,관심,"포스코인터내셔널, 가스 사업 3배 더 늘린다",
37,2022-06-21,기획기사,,관심,"포스코인터, 美 ‘위구르 강제노동 방지법’으로 우즈벡 매출 급증",조선비즈
38,2022-06-28,보도자료,,관심,"포스코인터, 인도네시아 숲 조성으로 탄소저감에 기여",
39,2022-07-07,보도자료,,관심,"포스코인터, 멕시코 구동모터공장 착공…4억달러 수주",
40,2022-07-11,기획기사,,관심,포스코홀딩스 기업시민 기획기사 - 당사 바이오앱 내용 포함,매일경제
41,2022-07-13,보도자료,,관심,종합상사에서 사업형 투자회사로 전환...투자기반의 사업모델 개발로 미래성장 추진,
42,2022-07-19,,,관심,"종합상사, 사업형 투자사 전환 선언…트레이딩 줄인다",뉴스1
43,2022-07-21,보도자료,,관심,"포스코인터내셔널 바이오앱에 지분투자, 유니콘 기업으로 성장 지원",
44,2022-07-21,보도자료,,관심,포스코인터내셔널 사상 최대 실적 갱신 지속,
45,2022-07-23,기획기사,,관심,[MTN 인사이트]?포스코?LNG 수직 계열화의 꿈…배경과 향방은?,MTN
46,2022-07-26,보도자료,,관심,포스코그룹 친환경 스틸 소재로 인천공항 1억명 시대 함께 연다,
47,2022-07-29,보도자료,,관심,"지속가능한 미래를 위해 먼저 행동하는 포스코인터내셔널, 2021 기업시민보고서 발간",
48,2022-07-30,,,관심,'1조원 클럽' 진입 경쟁…'맞수'?포스코인터·LX인터의 혈전,한국경제
49,2022-08-01,기획기사,,관심,비상경영' 선포하면서도 '광폭투자' 이어가는 포스코,인베스트조선
50,2022-08-01,기획기사,,관심,"포스코인터·에너지 합병, 두 수장 거취는",더벨
51,2022-08-03,,,관심,"합치고, 쪼개고, 팔고…재계는 지금 사업 재편 중",중앙일보
52,2022-08-08,보도자료,,관심,"포스코인터내셔널, 프로보노 봉사단 3기 출범.. 재능기부로 사회적기업과의 동반성장 노력 이어가",
53,2022-08-10,언론 문의,,관심,"Q. 최근 포스코에서 포스코인터내셔널을 통해 LNG사전 확보 차원에서 대규모 LNG카고 계약을 체결했다는 소식을 들었는데 사실여부?
A. 포스코인터내셔널은 지난 5월 미국 세니에르사와 연간 40만톤 규모의 LNG매매계약을 체결했음. 동 LNG는 국제 트레이딩 및 국내(비공식: 포스코그룹사)에 공급할 예정임.
Q.이번 계약 수량은(혹은 계약 추진 중인 수량) 단일 건수로는 역대 최대 규모인지?
A. 포스코인터내셔널 기준으로는 최대규모의 LNG구매계약임. 다만, 국내기업의 LNG구매계약의 규모를 볼때, 최대규모는 아님.
Q. LNG카고 계약이라고 하는데, LNG카고의 정확한 의미는 무엇인지?
A. LNG카고계약이 아닌 LNG구매계약이 정확한 표현임. LNG는 선박으로 운송되며 동 운송선을 LNG카고라고 얘기함.",8/10 매일경제 이유섭 기자 문의
54,2022-08-12,보도자료,,관심,"포스코인터내셔널, 포스코에너지 합병 추진",
55,2022-08-12,,,관심,[포스코인터내셔널?홀로서기]?포스코가 노리는 세 마리 토끼,팍스넷뉴스
56,2022-08-13,,,관심,“탐사부터 발전까지”…합병발표?포스코인터의 빅피처는?,헤럴드경제
57,2022-08-15,기획기사,,관심,"""우리랑 너무 안 맞네""…매각설까지 돌던 회사 확 달라졌다",한국경제
58,2022-08-16,기획기사,,관심,LNG대란 앞두고 韓기업 '선점' 빛났다,매일경제
59,2022-08-16,언론 문의,,관심,"Q. 이스틸포유가 그룹사의 철강 트레이딩을 모두 여기가 담당하는 것인가?
A. 기존 포스코인터내셔널이 수행해 왔던 주문외 제품(비정품)에 대한 온라인 판매를 담당하고 있으며, 
포스코 정품을 구매하기 어려운 중소 철강 고객사를 위해 일부 유통용 정품에 대해 소량으로 온라인 판매를 하고 있다.
포스코가 실수요가를 대상으로 판매하고 있는 업무는 기존의 프로세스대로 진행 될 예정이며, 
포스코 제품 이외에 포스코그룹사 제품에 대해서는 각 그룹사 각사별로 기존의 방식대로 진행을 할 것이다.
그룹사가 원할 경우 이스틸포유 플랫폼 내에서 중개거래를 할수 있는 기능은 별도로 제공 할 예정이다.    
이외에 이스틸포유는 국내 전체 철강 고객사를 대상으로 본인이 보유하고 있는 제품에 대해 플랫폼내에서 중개거래를 
 할 수 있도록 하는 마케팅툴을 제공할 예정이며, 
판재류 뿐만 아니라 봉형강, 강관류에 대한 거래기능도 제공할 예정이다.

Q. 포스코인터내셔널 기존 담당자들은 모두 소속 변경이 된 것인가?
A. 기존 전자상거래 업무를 수행해 왔던 포스코인터내셔널 직원이 파견형태로 근무하여 셋업을 할 예정이며,
이스틸포유 안정화 이후 대표이사와 일부 직원을 제외하고 파견된 인력은 포스코인터내셔널로 복귀 예정이다. 
포스코인터내셔널 파견직원 복귀에 대비하기 위해 이스틸포유는 직원들을 신규 채용하여 오버랩 근무를 통해 
업무 인수인계를 진행 중이다.

Q. 이스틸포유 대표이사 약력을 알고 싶다.
1964. 7월 7일생
1984.4  한양대학교 화학과
1990.7   포스코 광양제철소 품질기술부 입사
2007.4   베트남 POSVINA 주재근무 (법인장)
2015.4   베트남 POSCO-YAMATO VINA (舊 POSCO-SSVINA) 주재근무
2016.9   포스코 마케팅 후판가공소재섹션리더
2019.1   포스코인터내셔널 e-sales그룹리더
2022.4   e-STEEL4U 법인대표 (상무보)","8/18 더벨 김동현 기자 <철강 트레이딩 다각화 나선 포스코인터 글로벌 사업 포석>
http://www.thebell.co.kr/free/content/ArticleView.asp?key=202208161316246640102734&svccode=00&page=1&sort=thebell_check_time"
